subset,model,algorithm,fpr,tpr
maj_rep-pro_defendant,0,my_rf,0.019522776572668113,0.21626238469422618
maj_rep-pro_defendant,0,my_rf,0.021691973969631236,0.21899555859241543
maj_rep-pro_defendant,0,my_rf,0.0227765726681128,0.223436966176973
maj_rep-pro_defendant,0,my_rf,0.02386117136659436,0.2285616672360779
maj_rep-pro_defendant,0,my_rf,0.02440347071583514,0.23231978134608813
maj_rep-pro_defendant,0,my_rf,0.026572668112798264,0.23573624871882473
maj_rep-pro_defendant,0,my_rf,0.027114967462039046,0.2401776563033823
maj_rep-pro_defendant,0,my_rf,0.028199566160520606,0.2459856508370345
maj_rep-pro_defendant,0,my_rf,0.028741865509761388,0.24906047147249744
maj_rep-pro_defendant,0,my_rf,0.02982646420824295,0.253501879057055
maj_rep-pro_defendant,0,my_rf,0.03091106290672451,0.2579432866416126
maj_rep-pro_defendant,0,my_rf,0.03091106290672451,0.26443457464981207
maj_rep-pro_defendant,0,my_rf,0.031453362255965296,0.26955927570891697
maj_rep-pro_defendant,0,my_rf,0.031453362255965296,0.27297574308165357
maj_rep-pro_defendant,0,my_rf,0.03308026030368764,0.27810044414075846
maj_rep-pro_defendant,0,my_rf,0.033622559652928416,0.2811752647762214
maj_rep-pro_defendant,0,my_rf,0.03470715835140998,0.2852750256235053
maj_rep-pro_defendant,0,my_rf,0.03470715835140998,0.28971643320806284
maj_rep-pro_defendant,0,my_rf,0.03579175704989154,0.2944994875298941
maj_rep-pro_defendant,0,my_rf,0.03633405639913232,0.30064912880081995
maj_rep-pro_defendant,0,my_rf,0.0368763557483731,0.30509053638537753
maj_rep-pro_defendant,0,my_rf,0.037418655097613884,0.31021523744448243
maj_rep-pro_defendant,0,my_rf,0.03796095444685466,0.31465664502903995
maj_rep-pro_defendant,0,my_rf,0.039045553145336226,0.31807311240177655
maj_rep-pro_defendant,0,my_rf,0.04013015184381779,0.3225145199863341
maj_rep-pro_defendant,0,my_rf,0.04175704989154013,0.32832251451998634
maj_rep-pro_defendant,0,my_rf,0.042841648590021694,0.3331055688418176
maj_rep-pro_defendant,0,my_rf,0.04392624728850325,0.33788862316364876
maj_rep-pro_defendant,0,my_rf,0.0455531453362256,0.341646737273659
maj_rep-pro_defendant,0,my_rf,0.0455531453362256,0.3460881448582166
maj_rep-pro_defendant,0,my_rf,0.04609544468546638,0.3505295524427742
maj_rep-pro_defendant,0,my_rf,0.04772234273318872,0.3553126067646054
maj_rep-pro_defendant,0,my_rf,0.050433839479392624,0.3580457806627947
maj_rep-pro_defendant,0,my_rf,0.052060737527114966,0.3614622480355313
