model,algorithm,fpr,tpr
bench,my_rf,0.013414360927523244,0.0678542834267414
bench,my_rf,0.014534558082222471,0.07097106256433719
bench,my_rf,0.014842612299764758,0.07214342902893743
bench,my_rf,0.015626750308054216,0.07380189866178657
bench,my_rf,0.01618684888540383,0.0759464714628846
bench,my_rf,0.016438893245211156,0.07703305501544093
bench,my_rf,0.017503080542175423,0.08037858858515384
bench,my_rf,0.01865128262574213,0.0837527164588814
bench,my_rf,0.019631455136103954,0.08658355255633078
bench,my_rf,0.020751652290803183,0.08892828548553128
bench,my_rf,0.022011874089839813,0.09213084753517099
bench,my_rf,0.023356110675478884,0.0959624842731328
bench,my_rf,0.025232440909600088,0.10042319569941667
bench,my_rf,0.026324633135431836,0.10328262610088071
bench,my_rf,0.02772487957880587,0.1068283197986961
bench,my_rf,0.02890108659124006,0.11000228754432118
bench,my_rf,0.029713229528396997,0.11374814137023904
bench,my_rf,0.03114148090063851,0.11766556102024477
bench,my_rf,0.03170157947798813,0.11938121926112319
bench,my_rf,0.03282177663268735,0.12246940409470433
bench,my_rf,0.03349389492550689,0.12552899462427083
bench,my_rf,0.03444606250700123,0.12858858515383736
bench,my_rf,0.03514618572868825,0.13044721491478897
bench,my_rf,0.03598633359471267,0.13213427885165274
bench,my_rf,0.03705052089167694,0.1339357200045751
bench,my_rf,0.03780665397109891,0.13539402950932175
bench,my_rf,0.03805869833090624,0.13633764154180486
bench,my_rf,0.039038870841268065,0.13922566624728355
bench,my_rf,0.04055113700011202,0.14205650234473294
bench,my_rf,0.041279265150666516,0.14305730298524533
bench,my_rf,0.04335162988686009,0.14666018529109
bench,my_rf,0.04634815727568052,0.15266498913416449
bench,my_rf,0.04906463537582614,0.15766899233672652
bench,my_rf,0.05152906911616444,0.16264440123527393
bench,my_rf,0.05438557186064747,0.16796294178199703
bench,my_rf,0.057718158395877676,0.17479698044149605
bench,my_rf,0.059482468914528956,0.17940066338785313
bench,my_rf,0.06292707516522908,0.1868351824316596
bench,my_rf,0.06449535118180799,0.18989477296122612
bench,my_rf,0.06631567155819425,0.19398375843531968
bench,my_rf,0.0678279377170382,0.19715772618094476
bench,my_rf,0.0707124453903887,0.2039917648404438
bench,my_rf,0.07261678055337739,0.20802356170650807
bench,my_rf,0.07538926851125798,0.21440009150177286
bench,my_rf,0.07827377618460848,0.2204048953448473
bench,my_rf,0.08110227400022404,0.22652407640398034
bench,my_rf,0.08491094432620142,0.23330092645545009
bench,my_rf,0.08561106754788843,0.23613176255289947
bench,my_rf,0.08670325977372018,0.23841930687407067
bench,my_rf,0.08902766886972108,0.2444527050211598
bench,my_rf,0.09003584630895038,0.2466544664302871
bench,my_rf,0.09222023076061386,0.2511437721605856
bench,my_rf,0.09504872857622941,0.25754889625986505
bench,my_rf,0.09563683208244651,0.25849250829234816
bench,my_rf,0.09759717710317016,0.26358229440695413
bench,my_rf,0.09908143833314663,0.26695642228068167
bench,my_rf,0.10185392629102723,0.271302756490907
bench,my_rf,0.10322616780553377,0.2745053185405467
bench,my_rf,0.10485045367984765,0.2778508521102596
bench,my_rf,0.10543855718606475,0.2790232185748599
bench,my_rf,0.10728688249131847,0.2837698730412902
bench,my_rf,0.10958328665845189,0.28757291547523733
bench,my_rf,0.11092752324409096,0.2909756376529795
bench,my_rf,0.11277584854934468,0.29466430287086814
bench,my_rf,0.11456816399686345,0.29766670479240537
bench,my_rf,0.1189929427579254,0.3049010637081093
bench,my_rf,0.11966506105074493,0.30681688207709024
bench,my_rf,0.12436988910048169,0.3140226466887796
bench,my_rf,0.12680631791195252,0.31811163216287314
